date,farm_id,weight
2019-11-1,Farm 123,2812
2019-11-1,Farm 124,2290
2019-11-2,Farm 123,2746
2019-11-2,-,2332
2019-11-2,Farm 125,9538
2019-11-3,Farm 123,2672
2019-11-3,Farm 124,2359
2019-11-4,Farm 123,2693
2019-11-4,Farm 124,2393
2019-11-4,Farm 125,9397
2019-11-5,Farm 123,2703
2019-11-5,Farm 124,2176
-,Farm 123,2765
2019-11-6,Farm 124,2326
2019-11-6,Farm 125,9500
2019-11-7,Farm 123,2668
2019-11-7,Farm 124,2257
2019-11-8,Farm 123,2786
2019-11-8,Farm 124,2319
2019-11-8,Farm 125,-
2019-11-9,Farm 123,-
2019-11-9,Farm 124,2412
2019-11-10,Farm 123,2616
2019-11-10,Farm 124,2199
2019-11-10,Farm 125,9555
2019-11-11,Farm 123,2689
2019-11-11,Farm 124,2335
2019-11-12,Farm 123,-
2019-11-12,Farm 124,2243
2019-11-12,Farm 125,9527
2019-11-13,Farm 123,2707
2019-11-13,Farm 124,2352
2019-11-14,Farm 123,2792
2019-11-14,Farm 124,2231
-,Farm 125,9244
2019-11-15,Farm 123,-
2019-11-15,Farm 124,2464
2019-11-16,Farm 123,2737
2019-11-16,Farm 124,2258
2019-11-16,Farm 125,9496
2019-11-17,-,2762
2019-11-17,Farm 124,2359
2019-11-18,Farm 123,2696
2019-11-18,Farm 124,2325
2019-11-18,Farm 125,9390
2019-11-19,Farm 123,2726
2019-11-19,Farm 124,2210
2019-11-20,Farm 123,-
2019-11-20,Farm 124,2329
2019-11-20,Farm 125,9577
2019-11-21,Farm 123,2722
2019-11-21,Farm 124,2254
-,Farm 123,2684
2019-11-22,Farm 124,-
2019-11-22,Farm 125,9465
2019-11-23,Farm 123,2728
2019-11-23,Farm 124,2352
2019-11-24,Farm 123,2649
2019-11-24,Farm 124,2261
2019-11-24,Farm 125,9580
2019-11-25,Farm 123,2655
2019-11-25,Farm 124,2271
-,Farm 123,2698
2019-11-26,Farm 124,2276
2019-11-26,Farm 125,9516
2019-11-27,Farm 123,2610
2019-11-27,Farm 124,2292
2019-11-28,Farm 123,2731
2019-11-28,Farm 124,2351
2019-11-28,Farm 125,9558
2019-11-29,Farm 123,2843
2019-11-29,Farm 124,2380
2019-11-30,Farm 123,2571
2019-11-30,Farm 124,2437
2019-11-30,Farm 125,9455
